RECORDING_SESSION_LABEL,sentence,word_complex,preview,condition,CURRENT_FIX_INDEX,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_RUN_ID,CURRENT_FIX_X,,
05wyh,28,LC,TP,LC_TP,7,5,1,367.2,,0
05wyh,28,LC,TP,LC_TP,8,5,1,457.5,,0
05wyh,28,LC,TP,LC_TP,9,5,1,569.9,,0
05wyh,28,LC,TP,LC_TP,10,5,1,645.6,,1
05wyh,68,HC,ID,HC_ID,1,1,1,116.5,,0
05wyh,68,HC,ID,HC_ID,2,1,1,210.2,,0
05wyh,68,HC,ID,HC_ID,3,1,1,326.9,,1
05wyh,68,HC,ID,HC_ID,4,2,1,457.9,,1
05wyh,68,HC,ID,HC_ID,5,4,1,523.3,,1
05wyh,68,HC,ID,HC_ID,6,1,2,312.9,,0
05wyh,68,HC,ID,HC_ID,7,1,2,405.5,,1
05wyh,68,HC,ID,HC_ID,8,5,1,614.1,,0
05wyh,68,HC,ID,HC_ID,9,5,1,672.9,,1
05wyh,68,HC,ID,HC_ID,10,4,2,534.9,,1
05wyh,14,LC,ID,LC_ID,1,1,1,99.3,,0
05wyh,14,LC,ID,LC_ID,2,1,1,201.7,,0
05wyh,14,LC,ID,LC_ID,3,1,1,284.6,,0
05wyh,14,LC,ID,LC_ID,4,1,1,364.1,,0
05wyh,14,LC,ID,LC_ID,5,1,1,230.5,,0
05wyh,14,LC,ID,LC_ID,6,1,1,178.1,,0
05wyh,14,LC,ID,LC_ID,7,1,1,372,,0
05wyh,14,LC,ID,LC_ID,8,1,1,320.5,,1
05wyh,14,LC,ID,LC_ID,9,5,1,490.1,,0
05wyh,14,LC,ID,LC_ID,10,5,1,557.3,,0
05wyh,14,LC,ID,LC_ID,11,5,1,679.2,,1
05wyh,14,LC,ID,LC_ID,12,4,1,455.9,,1
05wyh,55,LC,JH,LC_JH,1,1,1,127.1,,0
05wyh,55,LC,JH,LC_JH,2,1,1,212.6,,0
05wyh,55,LC,JH,LC_JH,3,1,1,295.6,,0
05wyh,55,LC,JH,LC_JH,4,1,1,233.3,,1
05wyh,55,LC,JH,LC_JH,5,2,1,311.9,,1
05wyh,55,LC,JH,LC_JH,6,4,1,375.7,,1
05wyh,55,LC,JH,LC_JH,7,3,1,343.7,,1
05wyh,55,LC,JH,LC_JH,8,5,1,495.3,,1
05wyh,55,LC,JH,LC_JH,9,4,2,401.5,,1
05wyh,55,LC,JH,LC_JH,10,5,2,487.1,,0
05wyh,55,LC,JH,LC_JH,11,5,2,549.7,,0
05wyh,55,LC,JH,LC_JH,12,5,2,462.3,,1
05wyh,96,HC,TP,HC_TP,1,1,1,135.6,,0
05wyh,96,HC,TP,HC_TP,2,1,1,197.5,,0
05wyh,96,HC,TP,HC_TP,3,1,1,273.8,,0
05wyh,96,HC,TP,HC_TP,4,1,1,213.2,,0
05wyh,96,HC,TP,HC_TP,5,1,1,313.7,,0
05wyh,96,HC,TP,HC_TP,6,1,1,416.6,,0
05wyh,96,HC,TP,HC_TP,7,1,1,342.3,,0
05wyh,96,HC,TP,HC_TP,8,1,1,410.3,,1
05wyh,96,HC,TP,HC_TP,9,3,1,492.9,,1
05wyh,96,HC,TP,HC_TP,10,5,1,579.4,,0
05wyh,96,HC,TP,HC_TP,11,5,1,644.1,,1
05wyh,96,HC,TP,HC_TP,12,4,1,522.3,,1
05wyh,96,HC,TP,HC_TP,13,5,2,594.1,,0
05wyh,96,HC,TP,HC_TP,14,5,2,670.7,,1
05wyh,73,HC,ID,HC_ID,1,1,1,134.7,,0
05wyh,73,HC,ID,HC_ID,2,1,1,214.2,,0
05wyh,73,HC,ID,HC_ID,3,1,1,283,,0
05wyh,73,HC,ID,HC_ID,4,1,1,375.8,,1
05wyh,73,HC,ID,HC_ID,5,4,1,488.2,,1
05wyh,73,HC,ID,HC_ID,6,3,1,457.7,,1
05wyh,73,HC,ID,HC_ID,7,5,1,548.6,,1
05wyh,73,HC,ID,HC_ID,8,4,2,504.6,,1
05wyh,73,HC,ID,HC_ID,9,5,2,617.8,,1
05wyh,73,HC,ID,HC_ID,10,1,2,192.9,,0
05wyh,107,HC,JL,HC_JL,1,1,1,132.5,,0
05wyh,107,HC,JL,HC_JL,2,1,1,219.6,,0
05wyh,107,HC,JL,HC_JL,3,1,1,290.2,,0
05wyh,107,HC,JL,HC_JL,4,1,1,216,,1
05wyh,107,HC,JL,HC_JL,5,2,1,380.5,,1
05wyh,107,HC,JL,HC_JL,6,4,1,463.5,,1
05wyh,107,HC,JL,HC_JL,7,3,1,411.2,,1
05wyh,107,HC,JL,HC_JL,8,4,2,443.6,,1
05wyh,107,HC,JL,HC_JL,9,3,2,414.8,,1
05wyh,107,HC,JL,HC_JL,10,5,1,568.6,,0
05wyh,107,HC,JL,HC_JL,11,5,1,605.6,,0
05wyh,107,HC,JL,HC_JL,12,5,1,686.6,,0
05wyh,107,HC,JL,HC_JL,13,5,1,717.2,,1
05wyh,107,HC,JL,HC_JL,14,1,2,264.4,,0
05wyh,1,LC,ID,LC_ID,1,1,1,135.6,,0
05wyh,1,LC,ID,LC_ID,2,1,1,216.4,,0
05wyh,1,LC,ID,LC_ID,3,1,1,201.8,,0
05wyh,1,LC,ID,LC_ID,4,1,1,294.5,,0
05wyh,1,LC,ID,LC_ID,5,1,1,358.1,,1
05wyh,1,LC,ID,LC_ID,6,3,1,427,,1
05wyh,1,LC,ID,LC_ID,7,5,1,496.6,,0
05wyh,1,LC,ID,LC_ID,8,5,1,580.9,,0
05wyh,1,LC,ID,LC_ID,9,5,1,644.1,,1
05wyh,1,LC,ID,LC_ID,10,1,2,373.1,,0
05wyh,59,LC,JH,LC_JH,1,1,1,118.2,,0
05wyh,59,LC,JH,LC_JH,2,1,1,206.3,,0
05wyh,59,LC,JH,LC_JH,3,1,1,290.3,,0
05wyh,59,LC,JH,LC_JH,4,1,1,365.8,,1
05wyh,59,LC,JH,LC_JH,5,3,1,424.5,,1
05wyh,59,LC,JH,LC_JH,6,2,1,390.5,,1
05wyh,59,LC,JH,LC_JH,7,5,1,561.2,,0
05wyh,59,LC,JH,LC_JH,8,5,1,648.9,,1
05wyh,63,LC,JH,LC_JH,1,1,1,138.7,,0
05wyh,63,LC,JH,LC_JH,2,1,1,259.5,,1
05wyh,63,LC,JH,LC_JH,3,2,1,377.3,,1
05wyh,63,LC,JH,LC_JH,4,4,1,455.1,,1
05wyh,63,LC,JH,LC_JH,5,2,2,400.8,,1
05wyh,63,LC,JH,LC_JH,6,4,2,463.5,,1
05wyh,63,LC,JH,LC_JH,7,5,1,575.1,,0
05wyh,63,LC,JH,LC_JH,8,5,1,665.6,,0
05wyh,63,LC,JH,LC_JH,9,5,1,535.8,,0
05wyh,63,LC,JH,LC_JH,10,5,1,691,,1
05wyh,44,LC,JL,LC_JL,1,1,1,132.2,,0
05wyh,44,LC,JL,LC_JL,2,1,1,225.9,,0
05wyh,44,LC,JL,LC_JL,3,1,1,287.7,,0
05wyh,44,LC,JL,LC_JL,4,1,1,381.6,,1
05wyh,44,LC,JL,LC_JL,5,4,1,481.2,,1
05wyh,44,LC,JL,LC_JL,6,5,1,584.2,,0
05wyh,44,LC,JL,LC_JL,7,5,1,639.2,,0
05wyh,44,LC,JL,LC_JL,8,5,1,715.1,,1
05wyh,35,LC,JL,LC_JL,1,1,1,132.7,,0
05wyh,35,LC,JL,LC_JL,2,1,1,204.1,,0
05wyh,35,LC,JL,LC_JL,3,1,1,272.6,,0
05wyh,35,LC,JL,LC_JL,4,1,1,357.8,,1
05wyh,35,LC,JL,LC_JL,5,3,1,446.2,,1
05wyh,35,LC,JL,LC_JL,6,5,1,518.6,,0
05wyh,35,LC,JL,LC_JL,7,5,1,612.2,,0
05wyh,35,LC,JL,LC_JL,8,5,1,671.3,,1
05wyh,88,HC,TP,HC_TP,1,1,1,154.4,,0
05wyh,88,HC,TP,HC_TP,2,1,1,260.5,,1
05wyh,88,HC,TP,HC_TP,3,4,1,490.9,,1
05wyh,88,HC,TP,HC_TP,4,.,.,980.3,,1
05wyh,88,HC,TP,HC_TP,5,1,2,159.4,,1
05wyh,88,HC,TP,HC_TP,6,.,.,923.3,,0
05wyh,88,HC,TP,HC_TP,7,.,.,928.9,,1
05wyh,88,HC,TP,HC_TP,8,1,3,237.5,,0
05wyh,88,HC,TP,HC_TP,9,1,3,324,,1
05wyh,88,HC,TP,HC_TP,10,3,1,442.6,,1
05wyh,88,HC,TP,HC_TP,11,4,2,505.9,,1
05wyh,88,HC,TP,HC_TP,12,5,1,601.7,,0
05wyh,88,HC,TP,HC_TP,13,5,1,677.2,,1
05wyh,45,LC,JL,LC_JL,1,1,1,128.7,,0
05wyh,45,LC,JL,LC_JL,2,1,1,205.8,,0
05wyh,45,LC,JL,LC_JL,3,1,1,283.3,,1
05wyh,45,LC,JL,LC_JL,4,4,1,384.3,,1
05wyh,45,LC,JL,LC_JL,5,5,1,505.5,,0
05wyh,45,LC,JL,LC_JL,6,5,1,589.2,,0
05wyh,45,LC,JL,LC_JL,7,5,1,635.8,,0
05wyh,45,LC,JL,LC_JL,8,5,1,516.2,,0
05wyh,45,LC,JL,LC_JL,9,5,1,620.3,,0
05wyh,45,LC,JL,LC_JL,10,5,1,672.5,,1
