"","RECORDING_SESSION_LABEL","sentence","CURRENT_FIX_INDEX","CURRENT_FIX_INTEREST_AREA_INDEX","CURRENT_FIX_INTEREST_AREA_RUN_ID","CURRENT_FIX_X","LaunchSite"
"161","cbl",41,"7","2","1","427.2","27.8"
"162","cbl",42,"9","2","1","489.9","33.1"
"163","cbl",43,"3","1","1","288.5","96.5"
"164","cbl",44,"4","2","1","337.3","12.7"
"165","cbl",45,"6","2","1","438.9","15.1"
"166","cbl",46,"3","1","1","440.6","81.4"
"167","cbl",47,"6","1","3","277.1","74.9"
"168","cbl",48,"8","2","1","462.9","26.1"
"169","cbl",49,"3","2","1","263.6","51.4"
"170","cbl",50,"6","2","1","438.9","16.1"
"171","cbl",51,"8","2","1","522.1","36.9"
"172","cbl",52,"7","2","1","481.1","7.89999999999998"
"173","cbl",53,"7","2","1","421.2","29.8"
"174","cbl",54,"6","2","1","451.3","3.69999999999999"
"175","cbl",55,"5","2","1","339.3","10.7"
"176","cbl",56,"5","2","1","460.7","62.3"
"177","cbl",57,"4","2","1","413.4","5.60000000000002"
"178","cbl",58,"3","2","1","265.6","50.4"
"179","cbl",59,"5","2","1","311.6","38.4"
"180","cbl",60,"3","1","1","308.4","111.6"
"181","cbl",61,"10","2","1","395.1","59.9"
"182","cbl",62,"9","2","2","473.9","15.1"
"183","cbl",63,"6","2","1","445.2","9.80000000000001"
"184","cbl",64,"5","2","1","444.7","8.30000000000001"
"185","cbl",65,"6","1","1","413","76"
"186","cbl",66,"3","2","1","275.3","41.7"
"187","cbl",67,"4","2","1","377.6","5.39999999999998"
"188","cbl",68,"3","2","1","295.8","54.2"
"189","cbl",69,"2","1","1","213.5","101.5"
"190","cbl",70,"8","2","3","402.8","18.2"
"191","cbl",71,"4","2","1","451.6","36.4"
"192","cbl",72,"6","2","1","360.8","59.2"
"193","cbl",73,"19","2","1","531.6","25.4"
"194","cbl",74,"3","2","1","280.6","33.4"
"195","cbl",75,"12","1","1","371.6","150.4"
"196","cbl",76,"3","1","1","379.7","75.3"
"197","cbl",77,"7","1","1","449.9","73.1"
"198","cbl",78,"9","2","1","423.2","31.8"
"199","cbl",79,"6","2","1","395","59"
"200","cbl",80,"4","2","1","408.1","8.89999999999998"
"201","cbl",81,"7","2","1","509.9","13.1"
"202","cbl",82,"2","1","1","364.5","89.5"
"203","cbl",83,"2","2","1","368.3","16.7"
"204","cbl",84,"4","2","1","496.9","26.1"
"205","cbl",85,"7","2","1","483.2","39.8"
"206","cbl",86,"4","2","1","470.2","52.8"
"207","cbl",87,"5","2","1","306.9","8.10000000000002"
"208","cbl",88,"2","1","1","192.5","87.5"
"209","cbl",89,"10","2","2","381.2","39.8"
"210","cbl",90,"4","2","1","461.7","60.3"
"211","cbl",91,"2","2","1","340.9","44.1"
"212","cbl",92,"2","2","1","325.9","24.1"
"213","cbl",93,"7","2","1","481.9","40.1"
"214","cbl",94,"4","2","1","231.4","49.6"
"215","cbl",95,"5","2","1","477.1","9.89999999999998"
"216","cbl",96,"2","2","1","303.7","12.3"
"217","cbl",97,"3","1","1","268.4","81.6"
"218","cbl",98,"3","1","1","313.2","71.8"
"219","cbl",99,"7","2","1","375.3","8.69999999999999"
"220","cbl",100,"7","2","2","414.1","4.89999999999998"
"221","cbl",101,"3","2","1","290.2","24.8"
"222","cbl",102,"4","2","1","314.5","1.5"
"223","cbl",103,"3","1","1","298","87"
"224","cbl",104,"3","1","1","281.2","101.8"
"225","cbl",105,"5","2","1","284.4","65.6"
"226","cbl",106,"6","2","1","457.3","30.7"
"227","cbl",107,"3","2","1","383.3","0.699999999999989"
"228","cbl",108,"7","1","1","439.9","83.1"
"229","cbl",109,"8","2","1","362.3","23.7"
"230","cbl",110,"9","2","1","340.8","45.2"
"231","cbl",111,"2","1","1","266.1","152.9"
"232","cbl",112,"6","2","1","451.4","37.6"
"233","cbl",113,"1","1","1","199.4","218.6"
"234","cbl",114,"3","1","1","341.3","77.7"
"235","cbl",115,"10","2","2","457.6","31.4"
"236","cbl",116,"3","2","1","241.1","39.9"
"237","cbl",117,"5","2","1","333","51"
"238","cbl",118,"7","2","1","380.7","3.30000000000001"
"239","cbl",119,"4","2","1","434.8","20.2"
"240","cbl",120,"4","2","1","285.9","63.1"
"241","chenxy",1,"4","2","1","383","37"
"242","chenxy",2,"3","2","1","358.6","26.4"
"243","chenxy",3,"NA","NA","NA","NA","NA"
"244","chenxy",4,"4","2","1","280.4","33.6"
"245","chenxy",5,"6","2","1","399.6","55.4"
"246","chenxy",6,"3","2","1","339.2","45.8"
"247","chenxy",7,"5","2","1","292.4","23.6"
"248","chenxy",8,"NA","NA","NA","NA","NA"
"249","chenxy",9,"NA","NA","NA","NA","NA"
"250","chenxy",10,"5","2","1","355.9","30.1"
"251","chenxy",11,"5","2","1","358.5","26.5"
"252","chenxy",12,"NA","NA","NA","NA","NA"
"253","chenxy",13,"4","2","1","436.9","52.1"
"254","chenxy",14,"3","2","1","324.5","25.5"
"255","chenxy",15,"5","1","1","442.3","80.7"
"256","chenxy",16,"7","1","2","348.5","106.5"
"257","chenxy",17,"4","2","1","451.2","36.8"
"258","chenxy",18,"6","1","1","189.8","368.2"
