"","RECORDING_SESSION_LABEL","sentence","CURRENT_FIX_INDEX","CURRENT_FIX_INTEREST_AREA_INDEX","CURRENT_FIX_INTEREST_AREA_RUN_ID","CURRENT_FIX_X"
"222","cbl",102,"5","4","1","376.2"
"223","cbl",103,"4","3","1","394.6"
"224","cbl",104,"4","3","1","386.5"
"225","cbl",105,"6","3","1","355.8"
"226","cbl",106,"7","4","1","548.8"
"227","cbl",107,"4","4","1","441.7"
"228","cbl",108,"8","3","1","547.1"
"229","cbl",109,"9","3","1","405.7"
"230","cbl",110,"10","3","1","403"
"231","cbl",111,"3","4","1","470.8"
"232","cbl",112,"7","3","1","501.3"
"233","cbl",113,"2","3","1","429.9"
"234","cbl",114,"4","3","1","444.6"
"235","cbl",115,"11","4","1","528.7"
"236","cbl",116,"4","3","1","298.3"
"237","cbl",117,"6","4","1","438.6"
"238","cbl",118,"8","3","1","408.5"
"239","cbl",119,"5","3","1","480.2"
"240","cbl",120,"5","3","1","367.7"
"241","chenxy",1,"5","3","1","451.6"
"242","chenxy",2,"4","4","1","423.3"
"243","chenxy",3,"1","4","1","547.2"
"244","chenxy",4,"5","3","1","331.6"
"245","chenxy",5,"7","4","1","491.3"
"246","chenxy",6,"4","4","1","488.6"
"247","chenxy",7,"6","4","1","371.8"
"248","chenxy",8,"1","3","1","416.2"
"249","chenxy",9,"1","4","1","488.8"
"250","chenxy",10,"6","4","1","443.6"
"251","chenxy",11,"6","4","1","439"
"252","chenxy",12,"1","4","1","364.9"
"253","chenxy",13,"5","3","1","512.6"
"254","chenxy",14,"4","4","1","425.6"
"255","chenxy",15,"6","3","1","555.5"
"256","chenxy",16,"8","3","1","462.7"
"257","chenxy",17,"5","4","1","536.5"
"258","chenxy",18,"7",".",".","904.9"
"259","chenxy",19,"5","4","1","360.5"
"260","chenxy",20,"4","3","1","451.7"
"261","chenxy",21,"6","4","1","430.1"
"262","chenxy",22,"7","3","1","507.7"
"263","chenxy",23,"5","4","1","470.1"
"264","chenxy",24,"7","4","1","548.3"
"265","chenxy",25,"9","3","1","412"
"266","chenxy",26,"7","4","1","549.9"
"267","chenxy",27,"4","3","1","460.7"
"268","chenxy",28,"4","3","1","375.6"
"269","chenxy",29,"6","4","1","426.1"
"270","chenxy",30,"4","4","1","327.6"
"271","chenxy",31,"4","3","1","312.9"
"272","chenxy",32,"7","4","1","613.4"
"273","chenxy",33,"8","3","1","435.9"
"274","chenxy",34,"9","3","1","585.8"
"275","chenxy",35,"10","3","1","381.6"
"276","chenxy",36,"14","4","1","457.1"
"277","chenxy",37,"5","3","1","474.2"
"278","chenxy",38,"9","3","1","472.5"
"279","chenxy",39,"3","4","1","289.6"
"280","chenxy",40,"5","3","1","389.3"
"281","chenxy",41,"6","3","1","467.9"
"282","chenxy",42,"8","3","1","557.1"
"283","chenxy",43,"6","4","1","423.1"
"284","chenxy",44,"8","4","1","399.2"
"285","chenxy",45,"7","4","1","519.1"
"286","chenxy",46,"6","3","1","538.6"
"287","chenxy",47,"16","3","1","381"
"288","chenxy",48,"7","3","1","493"
"289","chenxy",49,"3","3","1","319.7"
"290","chenxy",50,"5","4","1","498.7"
"291","chenxy",51,"8","3","1","573.6"
"292","chenxy",52,"6","3","1","516.8"
"293","chenxy",53,"6","3","1","476"
"294","chenxy",54,"8","4","1","529.1"
"295","chenxy",55,"5","3","1","384.5"
"296","chenxy",56,"8","3","1","533.2"
"297","chenxy",57,"6","4","1","458.6"
"298","chenxy",58,"1","3","1","327.8"
"299","chenxy",59,"5","3","1","356.9"
"300","chenxy",60,"8","3","1","448.6"
"301","chenxy",61,"6","3","1","469.9"
"302","chenxy",62,"8","4","1","528.1"
"303","chenxy",63,"6","4","1","490"
"304","chenxy",64,"6","4","1","511.9"
"305","chenxy",65,"9","4","1","533"
"306","chenxy",66,"1","4","1","448.3"
"307","chenxy",67,"13","3","1","402.8"
"308","chenxy",68,"4","4","1","405.5"
"309","chenxy",69,"1","4","1","399.4"
"310","chenxy",70,"9","4","1","463"
"311","chenxy",71,"8","3","1","492.9"
"312","chenxy",72,"6","3","1","421.4"
"313","chenxy",73,"8","3","1","584.7"
"314","chenxy",74,"1","4","1","395.8"
"315","chenxy",75,"5","4","1","561.2"
"316","chenxy",76,"4","3","1","456.8"
"317","chenxy",77,"10","3","1","528.6"
"318","chenxy",78,"7","3","1","482.5"
"319","chenxy",79,"6","3","1","484.7"
"320","chenxy",80,"9","4","1","460.8"
"321","chenxy",81,"6","3","1","537"
"322","chenxy",82,"5","3","1","464.8"
"323","chenxy",83,"5","4","1","457.2"
"324","chenxy",84,"8","4","1","568.8"
"325","chenxy",85,"6","3","1","544.6"
"326","chenxy",86,"6","4","1","570.1"
"327","chenxy",87,"1","4","1","425.6"
"328","chenxy",88,"4","3","1","288.7"
"329","chenxy",89,"8","3","1","441.4"
"330","chenxy",90,"6","3","1","545.6"
"331","chenxy",91,"1","4","1","441"
"332","chenxy",92,"5","4","1","564.6"
"333","chenxy",93,"5","3","1","539.2"
"334","chenxy",94,"3","3","1","294.6"
"335","chenxy",95,"8","4","1","527.7"
"336","chenxy",96,"4","3","1","341.5"
"337","chenxy",97,"6","4","1","416.2"
"338","chenxy",98,"8","3","1","392.8"
"339","chenxy",99,"5","4","1","428.8"
"340","chenxy",100,"4","3","1","444.8"
"341","chenxy",101,"2","4","1","380.8"
"342","chenxy",102,"1","4","1","421.6"
"343","chenxy",103,"8","3","1","386.2"
"344","chenxy",104,"5","4","1","498.7"
"345","chenxy",105,"5","3","1","355.8"
"346","chenxy",106,"9","3","1","501.1"
"347","chenxy",107,"5","4","1","426.8"
"348","chenxy",108,"6","3","1","525.9"
"349","chenxy",109,"6","4","1","447.1"
"350","chenxy",110,"7","4","1","458.1"
"351","chenxy",111,"5","4","1","468.5"
"352","chenxy",112,"7","4","1","549.9"
"353","chenxy",113,"6","3","1","427.5"
"354","chenxy",114,"4","3","1","428.1"
"355","chenxy",115,"9","3","1","520.5"
